system:index,areakm2_cab,areakm2_mun,areakm2_munNoCab,mpio_ccnct,.geo
00000000000000000044_00000000000000000a9f_0000000000000000002d,4.735860508178711,114.86481454113769,110.13013016912842,5440,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_00000000000000000f57_0000000000000000002e,0.6467031677856445,1075.213547126892,1074.56671372052,5480,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_00000000000000000f59_0000000000000000002f,0.8054640288085938,316.7595028734131,315.9575825088501,5483,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_00000000000000000f5b_00000000000000000030,2.8356428287963866,1255.5523074067994,1252.7012746110229,5490,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_00000000000000000f6e_00000000000000000031,1.5981858293457032,937.3140136566162,935.7143985650634,5495,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_00000000000000000f77_00000000000000000032,1.2039083930053711,118.3269992836914,117.12430338909913,5541,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_00000000000000000f7b_00000000000000000033,0.5147335235595704,434.0682759557495,433.5516085650024,5543,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_00000000000000000f7e_00000000000000000034,6.141738166870117,1220.10544015625,1213.9545678167724,5579,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_00000000000000000f88_00000000000000000035,0.8741978360595704,669.281836225647,668.4108284989624,5585,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_00000000000000000f92_00000000000000000036,0.47248093182373047,369.5599151586914,369.0886699199829,5591,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_00000000000000000f9d_00000000000000000037,3.0523929090576174,1989.1871601964112,1986.13763769458,5604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_00000000000000000fa5_00000000000000000038,1.9299562584228516,243.60196679974365,241.6744453721924,5607,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_00000000000000000a80_00000000000000000039,10.147555825073242,195.9360491903076,185.79234837823486,5615,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_00000000000000000fc7_0000000000000000003b,0.6837305483398437,288.25622553186037,287.57469725634763,5642,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_00000000000000000fd5_0000000000000000003c,2.211045364868164,717.7936518092652,715.5873603876953,5649,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_00000000000000000fdb_0000000000000000003d,4.988405108947754,161.2603969456787,156.28047743511962,5656,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_00000000000000000fe0_0000000000000000003e,1.0936454143676757,252.0101743244629,250.91617271258545,5659,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_00000000000000000fe3_0000000000000000003f,0.5162194751586914,425.60769256494143,425.0907290824585,5660,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_00000000000000000fe8_00000000000000000040,2.1596670372924804,220.9610748562622,218.80125700750733,5664,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_00000000000000000fec_00000000000000000041,3.33745015045166,602.5302628463135,599.2000968931885,5665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_00000000000000000fee_00000000000000000042,1.3263939545288086,363.9341660588379,362.6038515551148,5667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_00000000000000000ff0_00000000000000000043,0.669400130859375,424.86456672924805,424.1958503584595,5670,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_00000000000000000ff6_00000000000000000044,0.9955754538574219,230.47358566973878,229.47635186260987,5674,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_00000000000000000ffa_00000000000000000045,1.060388882446289,196.16697874139405,195.1117331795044,5679,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_00000000000000000ff9_00000000000000000046,5.374277955688477,864.7517402561035,859.3765433607177,5686,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_00000000000000001005_00000000000000000047,0.537577147644043,265.94234643829344,265.40351445947266,5690,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_00000000000000001008_00000000000000000048,2.027368687805176,83.44250295947266,81.41809349694825,5697,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_00000000000000001009_00000000000000000049,3.828400583984375,1127.3039282050781,1123.4824525164795,5736,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0000000000000000100e_0000000000000000004a,2.677756299743652,1346.400086965393,1343.731795606201,5756,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_00000000000000001019_0000000000000000004b,3.9543681783447266,219.07544246228028,215.12838321807862,5761,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0000000000000000101b_0000000000000000004c,1.240865137939453,252.26310117608642,251.02284113580322,5789,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0000000000000000101f_0000000000000000004d,1.90017255078125,1148.9833121523438,1147.0875278956298,5790,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_00000000000000001027_0000000000000000004e,0.41326035528564453,120.46167136499024,120.04876227630615,5792,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_00000000000000001029_0000000000000000004f,0.47944686706542966,140.3644523173828,139.88653792333983,5809,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_00000000000000001057_00000000000000000050,0.30598227337646483,265.9276985881348,265.61676981848143,5842,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0000000000000000105c_00000000000000000051,2.342872981262207,2563.373761571289,2561.0320664015503,5847,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0000000000000000105e_00000000000000000052,0.42638032946777343,567.7075920779419,567.2798507736817,5854,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_00000000000000001063_00000000000000000053,1.076831419555664,524.9508571646728,523.8758283144531,5858,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_00000000000000001066_00000000000000000054,1.2866917314453126,139.66591982263185,138.37601685443116,5861,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_00000000000000000ebe_00000000000000000055,0.5620036938476562,440.859288871582,440.2957813027344,5885,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_00000000000000001070_00000000000000000056,2.5542287521362304,738.2469415419312,735.6947229224853,5887,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0000000000000000107d_00000000000000000057,2.586092203063965,1012.5275361126709,1009.9423159975586,5890,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_00000000000000001083_00000000000000000058,3.0225981868896485,1894.8934121339112,1891.8754224279785,5893,"{""type"":""MultiPoint"",""coordinates"":[]}"
